time,acc_x,acc_y,acc_z,yaw,pitch,roll,Unnamed: 7,velocity_x,velocity_y,velocity_z,velocity_magnitude,momentum,normal_force,energy
0.699092,0.0663,-0.1749,0.1124,0.1026,-0.1179,-0.0495,,0.002206501902027,-0.0064302608704954,0.0026651013502252,0.0073020319578351,0.15445513314189,691.341,0.00017040277252770692
0.71251,0.0663,-0.1749,0.1124,0.1026,-0.1179,-0.0495,,0.00252229696509,-0.0069469108817567,0.0030012141103603,0.0079767687013852,0.1765607875563,691.341,0.00022266936930357786
0.713731,-0.1718,0.1209,-0.1437,0.1026,-0.1179,-0.0495,,0.0032920474313063,-0.0089775195777026,0.004306190768018,0.010486978258229,0.23044332019144098,674.6740000000001,0.0003793151701489642
0.714878,-0.1718,0.1209,-0.1437,0.0867,-0.1442,-0.0458,,0.0040617978975225,-0.0110081282736486,0.0056111674256756,0.0130062404302082,0.28432585282657497,674.6740000000001,0.000577437075611137
0.738039,-0.1718,0.1209,-0.1437,0.0507,-0.1454,-0.0385,,0.0048315483637387,-0.0130387369695945,0.0069161440833333,0.0155301503642059,0.338208385461709,674.6740000000001,0.000817035085690114
0.752747,-0.1718,0.1209,-0.1437,0.0232,-0.1387,-0.033,,0.0042191149234234,-0.0133522100101351,0.0067344458209459,0.0155381853318546,0.295338044639638,674.6740000000001,0.0006230325757968914
0.778822,-0.1718,0.1209,-0.1437,0.0232,-0.1387,-0.033,,0.0022244975765765,-0.0119485473952702,0.0050660726385135,0.01316743203149,0.155714830360355,674.6740000000001,0.0001731936313868152
0.779778,-0.025,-0.1572,0.1124,0.0232,-0.1387,-0.033,,0.0002298802297297,-0.0105448847804053,0.003397699456081,0.0110811462198591,0.016091616081079,684.95,1.8495722007202878e-06
0.780781,-0.025,-0.1572,0.1124,0.0183,-0.1423,-0.033,,-0.0017647371171171,-0.0091412221655405,0.0017293262736486,0.0094692559968052,-0.123531598198197,684.95,0.00010900039823857706
0.79229,-0.025,-0.1572,0.1124,0.047,-0.1429,-0.0415,,-0.0037593544639639,-0.0077375595506756,6.095309121620395e-05,0.0086026908037721,-0.263154812477473,684.95,0.0004946461095003856
0.819979,-0.025,-0.1572,0.1124,0.0819,-0.1442,-0.0458,,-0.0057539718108108,-0.0063338969358107,-0.0016074200912162,0.0087069076796945,-0.402778026756756,684.95,0.001158786705986186
0.832865,-0.025,-0.1572,0.1124,0.0819,-0.1442,-0.0458,,-0.0068964068918918,-0.0065446204797297,-0.0017891183536036,0.0096743697327233,-0.482748482432426,684.95,0.0016646149806486452
0.833766,0.298,0.1314,-0.1174,0.0819,-0.1442,-0.0458,,-0.0071866597072072,-0.0083697301824324,-0.0004841416959459,0.0110424116141207,-0.5030661795045039,707.5600000000001,0.0018076827211518415
0.834681,0.298,0.1314,-0.1174,0.0739,-0.1289,-0.0525,,-0.0074769125225225,-0.0101948398851351,0.0008208349617116,0.0126693626985481,-0.523383876576575,707.5600000000001,0.0019566477304308817
0.859232,0.298,0.1314,-0.1174,0.0525,-0.1289,-0.0623,,-0.0077671653378378,-0.0120199495878378,0.0021258116193693,0.0144681415710698,-0.543701573648646,707.5600000000001,0.002111510008485814
0.872299,0.298,0.1314,-0.1174,0.0336,-0.1411,-0.0593,,-0.0080574181531531,-0.0138450592905405,0.003430788277027,0.0163822453361903,-0.564019270720717,707.5600000000001,0.0022722695553166385
0.898916,0.298,0.1314,-0.1174,0.0336,-0.1411,-0.0593,,-0.0064726377815315,-0.0139948297432432,0.0034017629954954,0.0157899427127142,-0.453084644707205,707.5600000000001,0.0014663263947818155
0.899769,-0.102,-0.0932,-0.0999,0.0336,-0.1411,-0.0593,,-0.0030128242229729,-0.0124692609459459,0.0020387357747747,0.0129890731730932,-0.210897695608103,679.5600000000001,0.0003176988429486291
0.900763,-0.102,-0.0932,-0.0999,0.0018,-0.1081,-0.0446,,0.0004469893355855,-0.0109436921486486,0.000675708554054,0.0109736402055353,0.031289253490985,679.5600000000001,6.992981314450835e-06
0.912613,-0.102,-0.0932,-0.0999,0.025,-0.0519,-0.0257,,0.0039068028941441,-0.0094181233513513,-0.0006873186666666,0.0102194208869441,0.273476202590087,679.5600000000001,0.000534208809879245
0.938004,-0.102,-0.0932,-0.0999,0.0696,-0.0305,-0.014,,0.0073666164527026,-0.007892554554054,-0.0020503458873873,0.0109892389912985,0.515663151689182,679.5600000000001,0.001899346328643002
0.952063,-0.102,-0.0932,-0.0999,0.0696,-0.0305,-0.014,,0.0085044074887387,-0.0076708014031531,-0.0033117846227477,0.0119219989216825,0.5953085242117091,679.5600000000001,0.0025313731357080216
0.952774,-0.0465,0.0444,0.0652,0.0696,-0.0305,-0.014,,0.0073201760022522,-0.0087528638986486,-0.0044716348727477,0.0122553303328547,0.5124123201576539,683.445,0.001875474184638215
