
time,ax,ay,az,wx,wy,wz,
0.164990,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.167156,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.170323,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.171477,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.172000,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.172846,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.176242,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.176659,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.177192,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.179904,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.180597,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.181269,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.183769,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.184953,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.188180,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.188901,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.189522,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.192036,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.192941,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.197344,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.198200,0.0452,0.1445,-0.0685,0.0024,-0.0092,-0.0159,
0.198828,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.199453,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.200349,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.201105,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.204506,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.205247,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.206002,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.208224,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.209184,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.212582,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.213375,-0.1079,0.4973,0.0465,-0.0177,-0.0269,-0.0238,
0.214156,-0.1079,0.4973,0.0465,-0.0177,-0.0269,-0.0238,
0.216812,-0.1079,0.4973,0.0465,-0.0177,-0.0269,-0.0238,
0.217255,-0.1079,0.4973,0.0465,-0.0208,-0.0238,0.0202,
0.217662,-0.1079,0.4973,0.0465,-0.0208,-0.0238,0.0202,
0.220661,-0.1079,0.4973,0.0465,-0.0208,-0.0238,0.0202,
0.221317,0.0849,0.4177,0.0145,-0.0208,-0.0238,0.0202,
0.221837,0.0849,0.4177,0.0145,-0.0208,-0.0238,0.0202,
0.224658,0.0849,0.4177,0.0145,-0.0208,-0.0238,0.0202,
0.225603,0.0849,0.4177,0.0145,-0.0208,-0.0238,0.0202,
0.228617,0.0849,0.4177,0.0145,-0.0208,-0.0238,0.0202,
0.229156,0.0513,0.3507,-0.0094,-0.0208,-0.0238,0.0202,
0.229987,0.0513,0.3507,-0.0094,-0.0208,-0.0238,0.0202,
0.232838,0.0513,0.3507,-0.0094,-0.0208,-0.0238,0.0202,
0.233808,0.0513,0.3507,-0.0094,-0.0208,-0.0238,0.0202,
0.237292,0.0513,0.3507,-0.0094,-0.0208,-0.0238,0.0202,
0.238177,0.0172,0.2952,-0.0130,-0.0208,-0.0238,0.0202,
0.238820,0.0172,0.2952,-0.0130,-0.0202,-0.0153,0.0098,
0.239355,0.0172,0.2952,-0.0130,-0.0202,-0.0153,0.0098,
0.240759,0.0172,0.2952,-0.0130,-0.0202,-0.0153,0.0098,
0.241712,0.0172,0.2952,-0.0130,-0.0202,-0.0153,0.0098,
0.245107,0.0172,0.2952,-0.0130,-0.0202,-0.0153,0.0098,
0.245830,0.0177,0.2687,-0.0411,-0.0202,-0.0153,0.0098,
0.246543,0.0177,0.2687,-0.0411,-0.0202,-0.0153,0.0098,
0.248659,0.0177,0.2687,-0.0411,-0.0202,-0.0153,0.0098,
0.250258,0.0177,0.2687,-0.0411,-0.0202,-0.0153,0.0098,
0.252786,0.0177,0.2687,-0.0411,-0.0202,-0.0153,0.0098,
0.253473,0.0278,0.2258,-0.0672,-0.0202,-0.0153,0.0098,
0.255053,0.0278,0.2258,-0.0672,-0.0202,-0.0153,0.0098,
0.257630,0.0278,0.2258,-0.0672,-0.0202,-0.0153,0.0098,
0.258125,0.0278,0.2258,-0.0672,-0.0501,-0.0202,-0.0006,
0.258737,0.0278,0.2258,-0.0672,-0.0501,-0.0202,-0.0006,
0.262878,0.0278,0.2258,-0.0672,-0.0501,-0.0202,-0.0006,
0.263674,0.0069,0.1589,-0.0540,-0.0501,-0.0202,-0.0006,
0.264510,0.0069,0.1589,-0.0540,-0.0501,-0.0202,-0.0006,
0.265508,0.0069,0.1589,-0.0540,-0.0501,-0.0202,-0.0006,
0.266628,0.0069,0.1589,-0.0540,-0.0501,-0.0202,-0.0006,
0.269519,0.0069,0.1589,-0.0540,-0.0501,-0.0202,-0.0006,
0.270284,-0.0457,0.1325,-0.0325,-0.0501,-0.0202,-0.0006,
0.271017,-0.0457,0.1325,-0.0325,-0.0501,-0.0202,-0.0006,
0.273662,-0.0457,0.1325,-0.0325,-0.0501,-0.0202,-0.0006,
0.274499,-0.0457,0.1325,-0.0325,-0.0501,-0.0202,-0.0006,
0.278517,-0.0457,0.1325,-0.0325,-0.0501,-0.0202,-0.0006,
0.279194,-0.0412,0.1424,0.0151,-0.0501,-0.0202,-0.0006,
0.279744,-0.0412,0.1424,0.0151,-0.0745,-0.0012,0.0006,
0.282727,-0.0412,0.1424,0.0151,-0.0745,-0.0012,0.0006,
0.283182,-0.0412,0.1424,0.0151,-0.0745,-0.0012,0.0006,
0.283513,-0.0412,0.1424,0.0151,-0.0745,-0.0012,0.0006,
0.287997,-0.0412,0.1424,0.0151,-0.0745,-0.0012,0.0006,
0.288535,-0.0078,0.0918,0.0457,-0.0745,-0.0012,0.0006,
0.289045,-0.0078,0.0918,0.0457,-0.0745,-0.0012,0.0006,
0.289377,-0.0078,0.0918,0.0457,-0.0745,-0.0012,0.0006,
0.290809,-0.0078,0.0918,0.0457,-0.0745,-0.0012,0.0006,
0.294351,-0.0078,0.0918,0.0457,-0.0745,-0.0012,0.0006,
0.294889,0.0449,0.0750,0.0888,-0.0745,-0.0012,0.0006,
0.295317,0.0449,0.0750,0.0888,-0.0745,-0.0012,0.0006,
0.297998,0.0449,0.0750,0.0888,-0.0745,-0.0012,0.0006,
0.298362,0.0449,0.0750,0.0888,-0.0733,0.0037,0.0061,
0.298729,0.0449,0.0750,0.0888,-0.0733,0.0037,0.0061,
0.301513,0.0449,0.0750,0.0888,-0.0733,0.0037,0.0061,
0.301791,0.0331,0.0528,0.0931,-0.0733,0.0037,0.0061,
0.303655,0.0331,0.0528,0.0931,-0.0733,0.0037,0.0061,
0.305633,0.0331,0.0528,0.0931,-0.0733,0.0037,0.0061,
0.307308,0.0331,0.0528,0.0931,-0.0733,0.0037,0.0061,
0.309599,0.0331,0.0528,0.0931,-0.0733,0.0037,0.0061,
0.309981,0.0499,0.0168,0.1266,-0.0733,0.0037,0.0061,
0.311322,0.0499,0.0168,0.1266,-0.0733,0.0037,0.0061,
0.314107,0.0499,0.0168,0.1266,-0.0733,0.0037,0.0061,
0.314936,0.0499,0.0168,0.1266,-0.0733,0.0037,0.0061,
0.318331,0.0499,0.0168,0.1266,-0.0733,0.0037,0.0061,
0.318694,0.0833,-0.0023,0.1599,-0.0733,0.0037,0.0061,
0.319194,0.0833,-0.0023,0.1599,-0.0648,0.0073,0.0061,
0.319601,0.0833,-0.0023,0.1599,-0.0648,0.0073,0.0061,
0.322484,0.0833,-0.0023,0.1599,-0.0648,0.0073,0.0061,
0.323529,0.0833,-0.0023,0.1599,-0.0648,0.0073,0.0061,
0.326071,0.0833,-0.0023,0.1599,-0.0648,0.0073,0.0061,
0.326466,0.1035,-0.0338,0.1517,-0.0648,0.0073,0.0061,
0.327758,0.1035,-0.0338,0.1517,-0.0648,0.0073,0.0061,
0.330121,0.1035,-0.0338,0.1517,-0.0648,0.0073,0.0061,
0.331247,0.1035,-0.0338,0.1517,-0.0648,0.0073,0.0061,
0.333964,0.1035,-0.0338,0.1517,-0.0648,0.0073,0.0061,
0.334340,0.1032,-0.0098,0.1752,-0.0648,0.0073,0.0061,
0.335838,0.1032,-0.0098,0.1752,-0.0648,0.0073,0.0061,
0.338895,0.1032,-0.0098,0.1752,-0.0648,0.0073,0.0061,
0.339422,0.1032,-0.0098,0.1752,-0.0464,0.0147,0.0049,
0.339922,0.1032,-0.0098,0.1752,-0.0464,0.0147,0.0049,
0.342405,0.1032,-0.0098,0.1752,-0.0464,0.0147,0.0049,
0.342821,0.1138,0.0043,0.1655,-0.0464,0.0147,0.0049,
0.345132,0.1138,0.0043,0.1655,-0.0464,0.0147,0.0049,
0.346879,0.1138,0.0043,0.1655,-0.0464,0.0147,0.0049,
0.347977,0.1138,0.0043,0.1655,-0.0464,0.0147,0.0049,
0.350594,0.1138,0.0043,0.1655,-0.0464,0.0147,0.0049,
0.350949,0.0989,0.0617,0.1743,-0.0464,0.0147,0.0049,
0.351460,0.0989,0.0617,0.1743,-0.0464,0.0147,0.0049,
0.355265,0.0989,0.0617,0.1743,-0.0464,0.0147,0.0049,
0.355844,0.0989,0.0617,0.1743,-0.0464,0.0147,0.0049,
0.359021,0.0989,0.0617,0.1743,-0.0464,0.0147,0.0049,
0.359379,0.0791,0.1072,0.1565,-0.0464,0.0147,0.0049,
0.359887,0.0791,0.1072,0.1565,-0.0336,0.0134,0.0024,
0.360350,0.0791,0.1072,0.1565,-0.0336,0.0134,0.0024,
0.363184,0.0791,0.1072,0.1565,-0.0336,0.0134,0.0024,
0.364074,0.0791,0.1072,0.1565,-0.0336,0.0134,0.0024,
0.366927,0.0791,0.1072,0.1565,-0.0336,0.0134,0.0024,
0.367296,0.0707,0.1357,0.1131,-0.0336,0.0134,0.0024,
0.367936,0.0707,0.1357,0.1131,-0.0336,0.0134,0.0024,
0.371236,0.0707,0.1357,0.1131,-0.0336,0.0134,0.0024,
0.372042,0.0707,0.1357,0.1131,-0.0336,0.0134,0.0024,
0.375034,0.0707,0.1357,0.1131,-0.0336,0.0134,0.0024,
0.375422,0.1059,0.1620,0.0571,-0.0336,0.0134,0.0024,
0.376075,0.1059,0.1620,0.0571,-0.0336,0.0134,0.0024,
0.379718,0.1059,0.1620,0.0571,-0.0336,0.0134,0.0024,
0.380415,0.1059,0.1620,0.0571,-0.0324,0.0318,0.0055,
0.381041,0.1059,0.1620,0.0571,-0.0324,0.0318,0.0055,
0.383403,0.1059,0.1620,0.0571,-0.0324,0.0318,0.0055,
0.383834,0.1279,0.2073,0.0143,-0.0324,0.0318,0.0055,
0.384375,0.1279,0.2073,0.0143,-0.0324,0.0318,0.0055,
0.387284,0.1279,0.2073,0.0143,-0.0324,0.0318,0.0055,
0.388401,0.1279,0.2073,0.0143,-0.0324,0.0318,0.0055,
0.391302,0.1279,0.2073,0.0143,-0.0324,0.0318,0.0055,
0.391705,0.1200,0.2121,-0.0294,-0.0324,0.0318,0.0055,
0.392288,0.1200,0.2121,-0.0294,-0.0324,0.0318,0.0055,
0.395711,0.1200,0.2121,-0.0294,-0.0324,0.0318,0.0055,
0.396656,0.1200,0.2121,-0.0294,-0.0324,0.0318,0.0055,
0.400043,0.1200,0.2121,-0.0294,-0.0324,0.0318,0.0055,
0.400518,0.1502,0.2264,-0.0226,-0.0324,0.0318,0.0055,
0.401108,0.1502,0.2264,-0.0226,-0.0501,0.0531,0.0006,
0.401605,0.1502,0.2264,-0.0226,-0.0501,0.0531,0.0006,
0.403823,0.1502,0.2264,-0.0226,-0.0501,0.0531,0.0006,
0.404609,0.1502,0.2264,-0.0226,-0.0501,0.0531,0.0006,
0.407684,0.1502,0.2264,-0.0226,-0.0501,0.0531,0.0006,
0.408153,0.1227,0.2190,-0.0062,-0.0501,0.0531,0.0006,
0.408704,0.1227,0.2190,-0.0062,-0.0501,0.0531,0.0006,
0.411529,0.1227,0.2190,-0.0062,-0.0501,0.0531,0.0006,
0.412873,0.1227,0.2190,-0.0062,-0.0501,0.0531,0.0006,
0.415664,0.1227,0.2190,-0.0062,-0.0501,0.0531,0.0006,
0.416173,0.1050,0.2382,0.0079,-0.0501,0.0531,0.0006,
0.416919,0.1050,0.2382,0.0079,-0.0501,0.0531,0.0006,
0.420497,0.1050,0.2382,0.0079,-0.0501,0.0531,0.0006,
0.421170,0.1050,0.2382,0.0079,-0.0593,0.0721,0.0024,
0.421818,0.1050,0.2382,0.0079,-0.0593,0.0721,0.0024,
0.424010,0.1050,0.2382,0.0079,-0.0593,0.0721,0.0024,
0.424520,0.1535,0.2068,0.0562,-0.0593,0.0721,0.0024,
0.425099,0.1535,0.2068,0.0562,-0.0593,0.0721,0.0024,
0.428223,0.1535,0.2068,0.0562,-0.0593,0.0721,0.0024,
0.429198,0.1535,0.2068,0.0562,-0.0593,0.0721,0.0024,
0.432184,0.1535,0.2068,0.0562,-0.0593,0.0721,0.0024,
0.432607,0.1906,0.1732,0.0989,-0.0593,0.0721,0.0024,
0.433098,0.1906,0.1732,0.0989,-0.0593,0.0721,0.0024,
0.436357,0.1906,0.1732,0.0989,-0.0593,0.0721,0.0024,
0.437367,0.1906,0.1732,0.0989,-0.0593,0.0721,0.0024,
0.440832,0.1906,0.1732,0.0989,-0.0593,0.0721,0.0024,
0.441286,0.3035,0.0678,0.0744,-0.0593,0.0721,0.0024,
0.441787,0.3035,0.0678,0.0744,-0.0629,0.0819,-0.0031,
0.442519,0.3035,0.0678,0.0744,-0.0629,0.0819,-0.0031,
0.445542,0.3035,0.0678,0.0744,-0.0629,0.0819,-0.0031,
